license_number,company_name,company_dba,license_classification,2 or more companies,# in each license,issued_date,naics_code,naics_name,,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
GBL-0124-27125,TAQUERIA EL MARIACHI LLC,Painted Pickle,Accommodation and Food Services,x,,2025-01-07 17:27:59,722511,Full-Service Restaurants ,,,279 Ottley Drive nE,,,,,Atlanta,GA,30324,279 Ottley Drive nE nan nan Atlanta GA 30324,"279 Ottley Dr NE, Atlanta, Georgia, 30324",-84.37809237,33.8113514,FALSE,6,E
GBL-0124-27125,Monster Cookies llc,Painted Pickle,Accommodation and Food Services,x,,2025-01-07 17:27:59,722511,Full-Service Restaurants ,,,279 Ottley Drive nE,,,,,Atlanta,GA,30324,279 Ottley Drive nE nan nan Atlanta GA 30324,"279 Ottley Dr NE, Atlanta, Georgia, 30324",-84.37809237,33.8113514,FALSE,6,E
GBL-0124-27142,Serenity Choice,TAQUERIA EL MARIACHI LLC,Accommodation and Food Services,x,,2025-01-27 14:05:43,722330,Mobile Food Services,,,1990 PERKERSON RD SW,,,,28,ATLANTA,GA,30310,1990 PERKERSON RD SW nan nan ATLANTA GA 30310,"1990 Perkerson Rd SW, Atlanta, Georgia, 30310",-84.41693386,33.70047474,TRUE,12,X
GBL-0125-35061,"Red Ocean Waters, LLC",Munster Cravings,Accommodation and Food Services,,,2025-02-18 08:12:00,722515,Snack and Nonalcoholic Beverage Bars ,,,264,19TH,Street,NW,2303,Atlanta,GA,,264 19TH Street Atlanta GA nan,"264 19th St NW, Atlanta, Georgia, 30363",-84.3962392,33.7932156,FALSE,3,E
GBL-0125-35173,Motion Sports Bar & Lounge,Planet Smoothie,Accommodation and Food Services,x,,2025-01-07 11:21:03,722515,Snack and Nonalcoholic Beverage Bars ,,NE,231 Peachtree,,ST,,FL-14,Atlanta,GA,30303,231 Peachtree nan ST Atlanta GA 30303,"231 Peachtree St NE, Atlanta, Georgia, 30303",-84.38649163,33.75994028,FALSE,2,M
GBL-0125-35242,Latham Food Services,Ms. Ruby's Peach Cobbler Cafe,Accommodation and Food Services,x,,2025-01-08 15:24:52,722511,Full-Service Restaurants ,,,2221 Peachtree Rd NE,Suite G,,,,Atlanta,GA,30309,2221 Peachtree Rd NE Suite G nan Atlanta GA 30309,"2221 Peachtree Rd NE, Suite G, Atlanta, Georgia, 30309",-84.39114199,33.81458899,FALSE,7,E
GBL-0125-35437,The Posh Nosh LLC,,Accommodation and Food Services,x,,2025-01-17 00:00:00,722511,Full-Service Restaurants ,,,2960,CAMPBELLTON,Road,SW,,Atlanta,GA,30311,2960 CAMPBELLTON Road Atlanta GA 30311,"2960 Campbellton Rd SW, Atlanta, Georgia, 30311",-84.48479367,33.69660268,TRUE,11,R
GBL-0125-35802,Cupcakin' Bake Shop,Tex's Tacos,Accommodation and Food Services,,,2025-02-04 04:16:00,722330,Mobile Food Services,,,3173,ROSWELL,Road,NE,,Atlanta,GA,30305,3173 ROSWELL Road Atlanta GA 30305,"3173 Roswell Rd NE, Atlanta, Georgia, 30305",-84.37832874,33.84164117,FALSE,7,B
GBL-0125-35948,"Juxtapose Hospitality Group, Inc",,Accommodation and Food Services,x,,2025-02-17 00:00:00,722330,Mobile Food Services,,,4053,LYON,Boulevard,SW,,Atlanta,GA,,4053 LYON Boulevard Atlanta GA nan,"4053 Lyon Blvd SW, Atlanta, Georgia, 30331",-84.527765,33.70545506,FALSE,11,P
GBL-0125-35997,"BOTICA, LLC",Cupcakin Bake Shop,Accommodation and Food Services,x,,2025-02-26 03:43:00,445291,Baked Goods Stores ,,,2221 Peachtree Road,,RD,,STE B,Atlanta,GA,30309,2221 Peachtree Road nan RD Atlanta GA 30309,"2221 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.39114199,33.81458899,FALSE,7,E
